,date,time,round,day,home_team,away_team,goals_home,goals_away,xg_home,xg_away,poss_home,formation_home,referee,sh_home,sot_home,dist_home,fk_home,pk_home,pkatt_home,season,target,poss_away,formation_away,sh_away,sot_away,dist_away,fk_away,pk_away,pkatt_away,time_group,xg_home_rolling,xg_away_rolling,poss_home_rolling,sh_home_rolling,sot_home_rolling,dist_home_rolling,fk_home_rolling,pk_home_rolling,goals_home_rolling,goals_away_rolling,pkatt_home_rolling,poss_away_rolling,sh_away_rolling,sot_away_rolling,dist_away_rolling,fk_away_rolling,pk_away_rolling,pkatt_away_rolling
20,2023-10-28,16,11,5,10,19,1.0,2.0,1.5,1.1,53.0,3-4-1-2,Jesús Gil,15.0,3.0,15.9,0.0,0,0,2024,1,47.0,4-1-3-2,13.0,4.0,21.9,0.0,0,0,1,2.2333333333333334,2.3666666666666667,66.66666666666667,17.333333333333332,7.0,15.266666666666666,0.3333333333333333,0.0,1.3333333333333333,2.6666666666666665,0.0,55.333333333333336,15.333333333333334,6.333333333333333,15.966666666666669,0.3333333333333333,0.0,0.3333333333333333
21,2023-11-12,16,13,6,10,17,2.0,1.0,1.6,1.7,71.0,4-2-3-1,Mateo Busquets,10.0,5.0,19.4,0.0,1,1,2024,0,29.0,5-4-1,8.0,1.0,14.0,0.0,0,0,1,1.3333333333333333,1.5333333333333332,54.666666666666664,13.0,4.666666666666667,16.900000000000002,0.3333333333333333,0.0,1.0,1.0,0.0,41.666666666666664,15.333333333333334,3.6666666666666665,18.3,0.3333333333333333,0.0,0.3333333333333333
22,2023-12-03,21,15,6,10,5,1.0,0.0,2.6,0.6,58.0,4-3-3,José Sánchez,13.0,2.0,14.1,0.0,0,0,2024,0,42.0,5-3-2,8.0,3.0,16.2,2.0,0,0,2,1.2666666666666666,2.2666666666666666,62.333333333333336,12.333333333333334,4.333333333333333,18.2,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,55.333333333333336,19.333333333333332,6.0,16.133333333333333,0.0,0.0,0.0
23,2023-12-10,21,16,6,10,7,2.0,4.0,3.7,2.5,54.0,4-3-3,Isidro Díaz de Mera,31.0,11.0,15.1,2.0,0,0,2024,1,46.0,3-4-3,15.0,7.0,13.4,0.0,0,0,2,1.7333333333333334,2.466666666666667,65.33333333333333,12.666666666666666,3.6666666666666665,16.433333333333334,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,63.666666666666664,13.666666666666666,4.333333333333333,13.533333333333333,0.0,0.0,0.0
24,2023-12-20,19,18,2,10,1,3.0,2.0,3.4,1.6,65.0,4-3-3,Guillermo Cuadra,30.0,11.0,13.4,1.0,0,0,2024,0,35.0,5-3-2,10.0,5.0,13.7,0.0,0,0,1,3.1666666666666665,1.3333333333333333,58.333333333333336,20.0,6.666666666666667,14.4,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333,0.0,52.666666666666664,15.333333333333334,5.0,20.133333333333333,0.6666666666666666,0.0,0.0
25,2024-01-27,18,22,5,10,16,3.0,5.0,2.2,2.1,70.0,4-3-3,José Luis Munuera,22.0,9.0,16.7,0.0,0,0,2024,1,30.0,4-4-2,9.0,6.0,13.5,0.0,0,0,1,2.433333333333333,1.4666666666666668,62.333333333333336,13.666666666666666,4.0,15.799999999999999,0.3333333333333333,0.3333333333333333,2.3333333333333335,0.6666666666666666,0.3333333333333333,50.666666666666664,14.333333333333334,4.0,16.900000000000002,1.3333333333333333,0.0,0.0
26,2024-01-31,19,20,2,10,8,1.0,0.0,1.9,1.0,68.0,4-3-3,Jorge Figueroa,16.0,4.0,15.1,1.0,0,0,2024,0,32.0,5-3-2,9.0,1.0,13.0,0.0,0,0,1,3.0,1.3666666666666665,61.333333333333336,20.0,7.333333333333333,14.866666666666665,0.3333333333333333,0.3333333333333333,2.0,1.3333333333333333,0.3333333333333333,56.666666666666664,12.0,4.333333333333333,16.099999999999998,0.3333333333333333,0.0,0.0
27,2024-02-11,21,24,6,10,14,3.0,3.0,2.3,1.4,65.0,4-3-3,Miguel Ángel Ortiz Arias,11.0,5.0,12.2,0.0,0,0,2024,2,35.0,4-1-4-1,11.0,5.0,14.6,0.0,0,0,2,2.1333333333333333,0.8666666666666667,65.66666666666667,13.666666666666666,6.0,14.766666666666666,0.0,0.0,3.3333333333333335,0.3333333333333333,0.0,45.333333333333336,11.666666666666666,1.6666666666666667,17.0,0.0,0.0,0.3333333333333333
28,2024-02-24,16,26,5,10,3,4.0,0.0,3.1,0.5,67.0,4-3-3,Alejandro Muñíz,17.0,9.0,13.6,0.0,0,0,2024,0,33.0,4-5-1,10.0,4.0,23.3,0.0,0,0,1,1.6666666666666667,1.4666666666666668,65.0,10.666666666666666,4.333333333333333,14.6,0.3333333333333333,0.3333333333333333,2.6666666666666665,1.6666666666666667,0.3333333333333333,46.333333333333336,10.666666666666666,2.0,17.566666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
29,2024-03-08,21,28,4,10,18,1.0,0.0,2.0,0.6,63.0,4-3-3,Javier Villanueva,19.0,5.0,21.4,0.0,0,1,2024,0,37.0,5-3-2,9.0,3.0,14.2,0.0,0,0,2,1.7666666666666666,1.1666666666666667,64.33333333333333,12.666666666666666,4.333333333333333,18.400000000000002,0.3333333333333333,0.3333333333333333,2.0,1.0,0.3333333333333333,40.333333333333336,11.666666666666666,3.0,17.5,0.0,0.0,0.0
