,date,time,round,day,home_team,away_team,goals_home,goals_away,xg_home,xg_away,poss_home,formation_home,referee,sh_home,sot_home,dist_home,fk_home,pk_home,pkatt_home,season,target,poss_away,formation_away,sh_away,sot_away,dist_away,fk_away,pk_away,pkatt_away
65,2023-10-06,21:00,9,4,0,1,3.0,0.0,1.9,0.1,59.0,4-2-3-1,Víctor García,23.0,9.0,13.4,0.0,0,0,2024,0,41.0,4-4-2,4.0,1.0,23.6,0.0,0,0
66,2023-10-29,18:30,11,6,0,12,2.0,2.0,1.9,1.9,57.0,4-2-3-1,Jorge Figueroa,12.0,7.0,15.5,0.0,0,0,2024,2,43.0,4-4-2,11.0,4.0,14.7,0.0,0,0
67,2023-11-10,21:00,13,4,0,2,4.0,3.0,4.6,2.1,58.0,4-2-3-1,Juan Pulido,20.0,11.0,13.2,0.0,1,1,2024,0,42.0,4-4-2,12.0,4.0,21.2,0.0,0,1
68,2023-12-02,16:15,15,5,0,11,4.0,0.0,1.3,0.5,51.0,4-2-3-1,Francisco Hernández,9.0,4.0,14.0,0.0,0,0,2024,0,49.0,4-2-3-1,11.0,3.0,22.0,1.0,0,0
69,2023-12-16,16:15,17,5,0,5,2.0,0.0,2.4,0.4,38.0,4-2-3-1,Jesús Gil,15.0,7.0,17.1,0.0,0,1,2024,0,62.0,3-5-2,7.0,3.0,18.6,0.0,0,0
70,2023-12-20,21:30,18,2,0,6,1.0,0.0,3.4,0.3,50.0,4-2-3-1,Juan Martínez,18.0,8.0,12.7,0.0,0,1,2024,0,50.0,4-5-1,5.0,1.0,17.5,0.0,0,0
71,2024-01-13,18:30,20,5,0,4,2.0,1.0,1.6,1.1,49.0,4-2-3-1,José Luis Munuera,10.0,3.0,12.7,1.0,0,0,2024,0,51.0,4-1-4-1,9.0,1.0,18.1,1.0,0,0
72,2024-02-02,21:00,23,4,0,18,4.0,0.0,1.7,0.4,62.0,4-2-3-1,Jorge Figueroa,13.0,6.0,15.7,0.0,0,0,2024,0,38.0,5-4-1,6.0,2.0,19.0,0.0,0,0
73,2024-02-19,21:00,25,0,0,7,3.0,2.0,1.8,2.1,31.0,4-2-3-1,José Sánchez,14.0,7.0,12.8,0.0,0,0,2024,0,69.0,4-2-3-1,12.0,5.0,14.2,0.0,0,0
74,2024-03-03,21:00,27,6,0,10,0.0,0.0,0.4,0.7,40.0,4-2-3-1,Alejandro Hernández,8.0,2.0,18.1,0.0,0,0,2024,2,60.0,4-3-3,8.0,1.0,22.5,0.0,0,0
75,2024-03-16,21:00,29,5,0,17,2.0,0.0,1.7,1.3,59.0,4-2-3-1,Alejandro Muñíz,16.0,4.0,16.9,0.0,0,0,2024,0,41.0,4-2-3-1,6.0,2.0,21.7,0.0,0,1
76,2023-08-12,17:00,1,5,4,7,1.0,1.0,1.0,0.8,48.0,4-3-3,Francisco Hernández,15.0,2.0,20.0,1.0,0,0,2024,2,52.0,4-1-4-1,6.0,1.0,12.2,0.0,0,0
77,2023-08-19,17:00,2,5,4,2,1.0,1.0,0.7,1.0,53.0,4-3-3,Miguel Ángel Ortiz Arias,11.0,2.0,17.3,1.0,0,0,2024,2,47.0,4-4-2,17.0,6.0,18.1,1.0,0,0
78,2023-09-02,14:00,4,5,4,14,5.0,3.0,2.3,0.8,61.0,4-3-3,Javier Villanueva,15.0,6.0,20.3,0.0,0,0,2024,0,39.0,3-4-3,8.0,5.0,18.5,0.0,0,0
79,2023-09-24,14:00,6,6,4,3,4.0,3.0,2.0,1.4,61.0,4-4-2,Juan Pulido,9.0,5.0,19.2,1.0,1,1,2024,0,39.0,4-2-3-1,9.0,6.0,18.2,0.0,1,1
80,2023-09-30,21:00,8,5,4,0,3.0,0.0,1.4,1.8,51.0,4-4-2,Jesús Gil,8.0,5.0,18.0,1.0,0,0,2024,0,49.0,4-2-3-1,18.0,3.0,14.9,0.0,0,0
81,2023-10-21,14:00,10,5,4,18,1.0,0.0,1.3,1.9,56.0,4-4-2,Jorge Figueroa,14.0,6.0,16.5,1.0,0,0,2024,0,44.0,5-3-2,18.0,6.0,13.9,1.0,0,0
82,2023-11-04,21:00,12,5,4,10,0.0,1.0,0.9,1.2,51.0,4-3-3,Alberola Rojas,13.0,6.0,16.7,0.0,0,0,2024,1,49.0,3-4-1-2,12.0,4.0,19.4,1.0,0,0
83,2023-11-26,16:15,14,6,4,9,2.0,1.0,0.7,0.6,49.0,4-4-2,Miguel Ángel Ortiz Arias,11.0,8.0,19.9,2.0,0,0,2024,0,51.0,4-2-3-1,8.0,2.0,13.4,0.0,0,0
84,2023-12-17,16:15,17,6,4,15,0.0,0.0,1.1,1.1,57.0,4-3-3,Mateo Busquets,12.0,4.0,18.1,1.0,0,0,2024,2,43.0,4-2-3-1,12.0,3.0,15.7,0.0,0,0
